params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3802259648093695,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3775059900610813,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon"": 0.3}",1.382666919383155,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3664225837949289,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon"": 0.3}",1.6925809328411106,100,0.08333333333333336,0.08333333333333333,0.08333333333333333,0.08333333333333333,2.7755575615628914e-17
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon"": 0.3}",1.4189603081529185,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon"": 0.5}",29.906482933706457,100,0.0,0.0,0.0,0.0,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5}",1.4972222578812762,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon"": 0.5}",1.4723683187128245,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon"": 0.5}",1.5160321443322573,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon"": 0.5}",1.4546831969444156,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5}",1.4862068132269997,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon"": 0.5}",1.4613079438818204,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon"": 0.5}",1.4588201713086164,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon"": 0.5}",1.4543788799473987,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.5, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon"": 0.5}",1.5012165128594006,100,0.125,0.125,0.125,0.125,0.0
